n_clusters,rho_min,misses_count,loss_percentage
3,0.01,29620,0.409336521054159
3,0.06,24710,0.3414822901839389
3,0.11,21692,0.2997747405370296
3,0.16,19202,0.2653639391384862
3,0.21,16690,0.23064910656292753
3,0.26,14654,0.20251240309006233
3,0.31,13124,0.1813684166885477
3,0.36,11834,0.16354113403629025
3,0.41000000000000003,10388,0.14355799394701566
3,0.46,8762,0.12108732604579815
3,0.51,7128,0.09850610135293873
3,0.56,5528,0.07639474302455743
3,0.61,4116,0.05688146929976092
3,0.66,2954,0.040823095313774
3,0.71,2018,0.027887950691670927
3,0.76,1200,0.016583518746285983
3,0.81,644,0.008899821727173478
3,0.86,266,0.003676013322093393
3,0.91,88,0.0012161247080609721
3,0.96,16,0.0002211135832838131
4,0.01,32902,0.4546924448252512
4,0.06,27492,0.3799284144774119
4,0.11,24158,0.33385387156064733
4,0.16,21356,0.29513135528806955
4,0.21,18582,0.25679578778623846
4,0.26,16288,0.22509362778292175
4,0.31,14600,0.20176614474647947
4,0.36,13096,0.18098146791780104
4,0.41000000000000003,11504,0.15898066638106162
4,0.46,9708,0.1341606666574536
4,0.51,7864,0.10867732618399414
4,0.56,6052,0.08363621287710231
4,0.61,4496,0.06213291690275148
4,0.66,3168,0.043780489490194995
4,0.71,2198,0.030375478503613825
4,0.76,1286,0.017772004256436477
4,0.81,670,0.009259131300009674
4,0.86,306,0.004228797280302925
4,0.91,94,0.001299042301792402
4,0.96,16,0.0002211135832838131
5,0.01,35210,0.4865880792139412
5,0.06,29424,0.4066278796589323
5,0.11,25766,0.3560757866806705
5,0.16,22822,0.31539088735644893
5,0.21,19844,0.2742361216677492
5,0.26,17450,0.24115200176890866
5,0.31,15666,0.2164978372327635
5,0.36,13958,0.19289396221721647
5,0.41000000000000003,12208,0.1687096640455494
5,0.46,10336,0.14283937480134326
5,0.51,8356,0.11547656886997139
5,0.56,6456,0.08921933085501858
5,0.61,4862,0.0671908901203687
5,0.66,3512,0.04853443153079698
5,0.71,2394,0.03308411989884054
5,0.76,1374,0.01898812896449745
5,0.81,724,0.010005389643592544
5,0.86,316,0.004366993269855309
5,0.91,100,0.0013819598955238318
5,0.96,18,0.00024875278119428974
6,0.01,36766,0.5080913751882921
6,0.06,30732,0.42470391509238403
6,0.11,26888,0.37158137670844793
6,0.16,23768,0.32846422796810437
6,0.21,20732,0.2865079255400008
6,0.26,18162,0.2509915562250383
6,0.31,16284,0.2250383493871008
6,0.36,14570,0.20135155677782232
6,0.41000000000000003,12812,0.17705670181451336
6,0.46,10866,0.15016376224761957
6,0.51,8854,0.12235872914968007
6,0.56,6820,0.09424966487472533
6,0.61,5092,0.07036939788007351
6,0.66,3674,0.05077320656154558
6,0.71,2510,0.03468719337764818
6,0.76,1490,0.020591202443305097
6,0.81,770,0.010641091195533506
6,0.86,312,0.004311714874034356
6,0.91,90,0.0012437639059714486
6,0.96,18,0.00024875278119428974
7,0.01,37286,0.515277566645016
7,0.06,31116,0.4300106410911955
7,0.11,27152,0.3752297508326308
7,0.16,24010,0.33180857091527205
7,0.21,20882,0.2885808653832866
7,0.26,18274,0.252539351308025
7,0.31,16356,0.22603336051187795
7,0.36,14576,0.20143447437155373
7,0.41000000000000003,12786,0.17669739224167716
7,0.46,10852,0.14997028786224623
7,0.51,8822,0.12191650198311245
7,0.56,6812,0.09413910808308343
7,0.61,5146,0.07111565622365638
7,0.66,3656,0.050524453780351294
7,0.71,2458,0.03396857423197579
7,0.76,1432,0.019789665703901272
7,0.81,730,0.010088307237323972
7,0.86,302,0.004173518884481972
7,0.91,88,0.0012161247080609721
7,0.96,16,0.0002211135832838131
8,0.01,37822,0.5226848716850238
8,0.06,31682,0.43783253409986045
8,0.11,27746,0.3834385926120424
8,0.16,24582,0.33971338151766833
8,0.21,21466,0.29665151117314575
8,0.26,18872,0.26080347148325755
8,0.31,16984,0.2347120686557676
8,0.36,15234,0.21052777048410054
8,0.41000000000000003,13380,0.18490623402108872
8,0.46,11334,0.15663133455867112
8,0.51,9208,0.12725086717983444
8,0.56,7102,0.09814679178010254
8,0.61,5362,0.07410068959798786
8,0.66,3830,0.05292906399856276
8,0.71,2594,0.0358480396898882
8,0.76,1504,0.020784676828678433
8,0.81,782,0.010806926382996365
8,0.86,346,0.004781581238512458
8,0.91,112,0.0015477950829866918
8,0.96,18,0.00024875278119428974
9,0.01,38724,0.5351501499426486
9,0.06,32384,0.4475338925664377
9,0.11,28396,0.3924213319329473
9,0.16,25132,0.34731416094304945
9,0.21,21876,0.30231754674479344
9,0.26,19240,0.26588908389878524
9,0.31,17266,0.23860919556114482
9,0.36,15458,0.21362336065007392
9,0.41000000000000003,13512,0.18673042108318016
9,0.46,11430,0.15795801605837398
9,0.51,9228,0.1275272591589392
9,0.56,7084,0.09789803899890825
9,0.61,5354,0.07399013280634596
9,0.66,3840,0.053067259988115144
9,0.71,2594,0.0358480396898882
9,0.76,1532,0.021171625599425106
9,0.81,802,0.011083318362101132
9,0.86,342,0.004726302842691505
9,0.91,116,0.001603073478807645
9,0.96,20,0.00027639197910476636
